question,gabarito,img
A idade de Dona Mônica,ok,x
Acelerador de Partículas,ok,ok
Aeroporto,ok,x
Alfabeto Alienígena,ok,x
Altas Aventuras,ok,x
Amigos,ok,ok
Aplicativo de Calorias,ok,x
Arara!,ok,x
Arco e flecha,ok,ok
Arquivos,ok,x
Arranha-céu,ok,x
Atlanta,ok,ok
Atletismo,ok,ok
Auto Estrada,ok,x
Autorama,ok,x
Avenida,ok,ok
Avião,ok,ok
Aviões de papel,ok,x
Ações da Bolsa,x,x
Bactérias,ok,x
Bafo,ok,x
Baldes,ok,ok
Balé,ok,x
Banco,ok,x
Banda,ok,x
Baralho,ok,x
Barcos da Nlogônia,ok,x
Basquete de robôs,ok,ok
Batalha,ok,x
Batalha Naval,ok,x
Bingo!,ok,ok
Bits,ok,x
Bits Trocados,ok,x
Blefe,ok,x
Bolas,ok,ok
Bomba,ok,x
Bombom,ok,ok
Bondinho,ok,ok
Botas Trocadas,ok,x
Brigadeiros,ok,ok
Burocracia,ok,ok
Busca na Internet,ok,x
Cabo de guerra,ok,ok
Cachecol da Vovó Vitória,x,ok
Cadeado,ok,ok
Cadeiras do auditório,ok,ok
Cafeteria,ok,x
Café com Leite,ok,x
Caixeiro Viajante,x,x
Caixinha de palitos,ok,ok
Calculadora,ok,x
Calculando,ok,x
Calçada Imperial,ok,ok
Caminho,ok,x
Caminho das Pontes,ok,ok
Caminhos do reino,ok,ok
Camisetas da Olimpíada,ok,x
Campeonato,ok,x
Campeonato_2018,ok,ok
Campo de Minhocas,ok,ok
Campo Minado,ok,ok
Candidatas,ok,x
Capitais,ok,ok
Capital,ok,x
Caravana,ok,x
Carga Pesada,x,ok
Carnaval,ok,x
Carrinho,ok,x
Carro elétrico,ok,ok
Cartas,ok,ok
Casamento de inteiros,ok,ok
Castelos da Nlogônia,ok,ok
Catálogo de Músicas,ok,ok
Cavalos,ok,ok
Caverna de Ordinskaya,ok,x
Caça ao Tesouro,ok,x
Caça ao Tesouro_2011,ok,ok
Caçadores de Mitos,ok,ok
Chaves,ok,x
Chinelos,ok,ok
Chocolate,ok,ok
Chocolate em barra,ok,ok
Chocolate_2012,ok,x
Chuva,ok,x
Chuva_2011,x,x
Chuva_2016,ok,ok
Chuva_2019,ok,ok
Chuva_2022,ok,x
Ciclovias,ok,x
Cifra da Nlogônia,ok,x
Cinco,ok,ok
Cinema,ok,ok
Clube dos Cinco,ok,x
Cobertura para Celular,ok,x
Cobra coral,ok,x
Cofrinhos da Vó Vitória,ok,x
Colchão,ok,x
Coleção de Upas,ok,x
Colheita de Caju,ok,x
Colorindo,ok,x
Cometa,ok,x
Competição de chocolate,ok,ok
Computador,ok,ok
Concatena Dígitos,ok,x
Concurso,ok,x
Consecutivos,ok,x
Construtora,ok,x
Construção de Rodovia,ok,ok
Conta de água,ok,ok
Contas a pagar,ok,x
Conversa não tão secreta,ok,x
Copa,ok,ok
Copa do Mundo,ok,ok
Copa do Mundo_2014,ok,x
Corredor,ok,ok
Corrida,ok,x
Corrida_2012,ok,x
Corrida_2013,ok,x
Cortando o Papel,ok,ok
Costa,ok,ok
Cubo e quadrado,ok,x
Cubo Preto,ok,ok
Cubra os Furos,ok,ok
Cálculo,ok,x
Cápsulas,ok,ok
Câmara de Compensação,ok,ok
Câmeras,ok,ok
Código,ok,x
Código de compressão,ok,x
Código_2017,ok,x
Dança de Formatura,ok,ok
Dança Indígena,ok,ok
Dario e Xerxes,ok,ok
Decifra,ok,x
Dengue,ok,ok
Dentista,ok,x
Desafio cartográfico,ok,x
Desafio do maior número,ok,x
Detectando Colisões,ok,x
Detetive,ok,x
Diagonal,ok,ok
Dieta,ok,x
Direção,ok,x
Distância de Manhattan,x,x
Distância entre amigos,ok,ok
Dividindo o império,ok,ok
Divisão do Tesouro,ok,x
Dobradura,ok,ok
Dominó,ok,ok
Dominó Nlogônico,ok,x
Dominó_2019,ok,ok
Dona Formiga,ok,x
Dona Lesma,ok,x
Dona Minhoca,ok,ok
Dona Minhoca_2022,ok,x
Drone de Entrega,ok,x
Duende Perdido,ok,ok
Duplas de tênis,ok,x
Dígitos,ok,x
Elevador,ok,x
Elevador_2018,ok,ok
Emoticons,ok,x
Empregos de Júlio,ok,x
Energia,ok,x
Entrega de Caixas,ok,ok
Entrevistas de emprego,ok,x
Epidemia,ok,x
Escada perfeita,ok,ok
Escada Rolante,ok,x
Escadaria,ok,x
Escadinha,ok,x
Escalonamento ótimo,ok,x
Escher,ok,ok
Estoque,ok,ok
Estrada,ok,x
Estágio,ok,x
Etiquetas,ok,x
Exploração do Capitão Levi,ok,x
Expressões,ok,x
Falha de segurança,ok,x
Falta uma,ok,ok
Família real,ok,x
Famílias de Troia,x,x
Fast-Food,ok,ok
Fechadura,ok,x
Feira de Artesanato,ok,x
Feira de Bactérias,ok,x
Feirinha de Artesanato,ok,x
Festa Junina,ok,x
Festa olímpica,ok,x
Figurinhas da copa,ok,x
Fila,ok,x
Fila_2015,ok,x
Fila_2025,ok,ok
Fissura Perigosa,ok,ok
Fita Colorida,ok,x
Fitas Verde-amarelas,ok,ok
Floresta,ok,ok
Flíper,ok,ok
Forja de ORicalco,ok,ok
Fotografia,ok,x
Fotos de Relíquias,ok,x
Frequencia na aula,ok,x
Frequência,ok,x
Frete,ok,ok
Frete da Família Silva,ok,ok
Frota de Táxi,ok,x
Fuga,ok,ok
Fuga com helicóptero,ok,ok
Fusões,ok,x
Game Show,ok,ok
Game-10,ok,ok
Gangorra,ok,x
Garamana,ok,x
Garçom,ok,x
Gincana,ok,x
Gincana_2016,ok,x
Gomoku,ok,ok
Grand Prix da Nlogônia,ok,x
Grupos de Trabalho,ok,x
Gráfico de Barras,ok,ok
Guerra por território,ok,x
Harmonia Nasal,ok,x
Hidrovias e Rodovias,ok,x
Hotel,ok,x
Hotel Nlogônia,ok,x
Idade de Camila,ok,x
Ilhas,ok,x
Imagens de Satélite,x,ok
Impedido!,ok,ok
Insensibilidade,ok,x
Intervalo Distinto,ok,x
Irmãos,ok,x
Janela,x,ok
Jardim de infância,ok,ok
Jogo,ok,x
Jogo da Memória,ok,x
Jogo da Vida,ok,ok
Jogo de Búzios,x,x
Jogo de Cartas,ok,ok
Jogo de Dominós,ok,ok
Jogo de par ou ímpar,ok,x
Jogo de Pratos,ok,x
Jogo de Tabuleiro,ok,ok
Jogo do Poder,ok,x
Jogo do Preto e Branco,ok,ok
Jogo dos copos,ok,ok
Jogo dos Pinos,ok,ok
Labirinto,ok,x
Lanche na empresa,ok,x
Leilão,ok,x
Lençol,ok,x
Letras,ok,x
Letras_2015,ok,x
Linhas Cruzadas,ok,ok
Linhas de Ônibus,ok,ok
Lista de Chamada,x,x
Lobo Mau,ok,x
Loteria,ok,x
Lâmpadas,ok,x
Lâmpadas do hotel,ok,x
Língua do P,ok,x
Macaco-prego,ok,ok
Macacos me mordam!,ok,ok
Maior valor,ok,x
Mancha,ok,ok
Manchas de pele,ok,ok
Mania de Ímpar,ok,x
Mapa,ok,x
Mapa_2017,ok,x
Maratona,ok,x
Margaridas,ok,x
Matriz Escada,ok,x
Matriz super-legal,ok,x
Maximin,ok,x
Medalhas,ok,ok
Mesa redonda,ok,ok
Meteoros,ok,x
Metrô da Nlogônia,ok,ok
Metrônibus,ok,ok
Mina,ok,ok
Mini Calculadora,ok,x
Mini-Poker,ok,x
Monopólio,ok,x
Montanha,ok,ok
Multiplicação de matrizes,x,x
Muro,ok,ok
Museu,ok,x
Musical,ok,x
Média e mediana,ok,x
