question,gabarito,img
Móbile,ok,ok
Móbile_2015,ok,ok
Música para Todos,ok,x
Nota cortada,ok,ok
Nota esquecida,ok,x
Notas,ok,x
Notas da Prova,ok,ok
Nova avenida,ok,ok
Número de Envelopes,ok,x
Número de Erdos,ok,x
O Banco Inteligente,ok,x
O Chefe,ok,ok
O Fugitivo,ok,x
O mar não está para peixe,ok,x
O Tabuleiro Esburacado,ok,ok
OBI,ok,x
Oficina Mecânica,ok,x
Ogro,ok,x
Ogros,ok,x
Ogro_2024,ok,x
Olimpíadas,ok,x
Orkut,ok,x
Ortografia,ok,x
Overflow,ok,x
Paciente Zero,ok,x
PacMan,ok,x
Palavras Cruzadas,x,ok
Palavras Cruzadas_2020,ok,ok
Palíndrome,ok,x
Pandemia,ok,x
Pangrama,ok,x
Par ou ímpar,ok,x
Parcelamento sem juros,ok,x
Pares de números,ok,x
Passa Bolinha,ok,ok
Passatempo,ok,ok
Pastas,ok,x
Pedido de Desculpas,ok,x
Pedágio,ok,x
Pedágio_2010,ok,x
Penalidade mínima,ok,x
Pesos,ok,ok
Peça Perdida,ok,x
Pilhas de moedas,ok,x
Piloto Automático,ok,ok
Pirâmide,ok,ok
Pirâmide_2018,ok,x
Pirâmide_2023,ok,ok
Piso da escola,ok,ok
Pizza,ok,ok
Pizza da OBI,ok,x
Pizzaria,ok,ok
Placar do Jogo,ok,x
Placas de Carro,ok,x
Plano de estacionamento,ok,x
Plano de Internet,ok,x
Plantação,x,x
Plantação de morango,ok,x
Pneu,ok,x
Polígono,x,x
Ponto do meio,ok,ok
Postes,ok,x
Prefixo,ok,x
Progressões Aritméticas,ok,x
Projeto Genoma,x,x
Promoção de Primeira,ok,x
Proteja sua senha,ok,ok
Prêmio,ok,x
Prêmio do Milhão,ok,x
Pulo do Gato,ok,ok
Pulo do Sapo,ok,x
Pão a Metro,ok,x
"Pô, que mão",ok,x
Quadradinho de 8,x,x
Quadrado,ok,ok
Quadrado Aritmético,ok,ok
Quadrado Mágico,ok,x
Quadrado Mágico_2007,ok,x
Quadrado Mágico_2011,ok,ok
Quadrado Mágico_2022,ok,ok
Quadrado_2022,ok,x
Quase primo,ok,x
Quebra-cabeça,ok,ok
Quebra-cabeças,ok,x
Quermesse,ok,x
Ralouim,ok,x
Recarga,ok,x
Receita de Bolo,ok,x
Recibo de Compra,ok,x
Rede Social,ok,x
Rede ótica,ok,ok
Redes de Descanso,ok,ok
Reduzindo detalhes em um mapa,ok,ok
Relógio,ok,x
Relógio de Atleta,ok,x
Relógios,ok,ok
Remove Dígitos,ok,ok
Repositórios,ok,x
Restaurante,x,x
Restaurante de pizza,ok,x
Retas,ok,ok
Retângulo,ok,ok
Reunião,ok,x
RoboCoffee,x,x
Robô,ok,x
Robô_2021,ok,ok
Rodovia,ok,x
Rodovia_2022,ok,ok
Sacolas,ok,x
Sacoleiro,ok,x
Salada de Frutas,ok,x
Saldo de gols,ok,x
Saldo do Vovô,ok,x
Sanduíche,ok,x
Sanduíche_2021,ok,x
SEDEX,ok,x
Sedex Marciano,ok,x
Segredo do Cofre,ok,ok
Selos,ok,x
Semente,ok,ok
Sequência,ok,x
Sequência Secreta,ok,ok
Seqüências,x,x
Setas,ok,ok
Show,ok,x
Simulador,ok,x
Sinuca,ok,ok
Soma,ok,ok
Soma das casas,ok,x
Soma de Frações,x,x
Sorvete,ok,x
Sr. Sapo,ok,ok
Sr. Toupeira,ok,ok
Sub-seqüências,ok,x
Subcadeias,ok,x
Subsequência,ok,x
Supermercado,ok,ok
Supermercado_2019,ok,x
Tabela do campeonato,ok,x
Tacos de bilhar,ok,x
Tacógrafo,ok,x
Tanque de combustível,ok,x
Tapetes,ok,x
Tarzan,ok,x
Taxa,ok,ok
Teclado,ok,ok
Telefone,ok,ok
Teleférico,ok,ok
Telemarketing,ok,x
Telescópio,ok,x
Temperatura Lunar,ok,x
Tempo de resposta,ok,x
Tesouro,ok,ok
Teste de redação,ok,x
Tetris,ok,x
Times,ok,x
Times_2016,ok,x
Tira-teima,ok,x
Tiro ao Alvo,ok,ok
Toca do Saci,ok,ok
Tomadas,ok,x
Torneio,x,ok
Torneio de tênis,ok,x
Torre,ok,ok
Torre de dados,ok,x
Torres de Hanói,ok,ok
Toupeira,ok,ok
Tradutor alienígena,ok,x
Transmissão de Energia,ok,ok
Transporte de Contêineres,ok,ok
Transportes,ok,ok
Trem da mina,ok,x
Trilhas,ok,ok
Trio de Bonecas,ok,ok
Trio de Palitinhos,ok,ok
Triângulo,ok,x
Triângulos,ok,ok
Troca,ok,ok
Troco,x,x
Troféu,ok,x
Truco,ok,x
Três por Dois,ok,x
TV da Vovó,ok,ok
Uiquipédia,ok,x
Um Desafio Muito Distinto,ok,x
VAR,ok,ok
Vende-se,ok,x
Vestibular,ok,x
Viagem,ok,ok
Viagem Espacial,ok,x
Vice-campeão,ok,x
Vira!,x,ok
Visita entre cidades,ok,ok
Vivo ou Morto,ok,x
Volume da TV,x,x
Wifi,ok,ok
Xadrez,ok,ok
Xadrez Aleatório,ok,ok
Zero para cancelar,ok,ok
Zip,ok,x
Álbum da copa,ok,x
Álbum de fotos,ok,ok
Ônibus,ok,ok
